# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 16 12:01:31 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
304,EPIC 203294831,EPIC 203294831.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,15h59m31.01s,239.879211,-26d36m15.7s,-26.604366,1.85872487,,,0,2456897.387822,,,0,,,,,,,,,,,,,,,,,11.571,,0,10.586,0.019,0
305,EPIC 203294831,EPIC 203294831.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,15h59m31.01s,239.879211,-26d36m15.7s,-26.604366,1.85901790,,,0,2456895.525000,,,0,,,,,0.26540,,,0,30.500,,,0,1.33,,,0,11.571,,0,10.586,0.019,0
306,EPIC 203311200,EPIC 203311200.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,,2,1,16h03m54.33s,240.976395,-26d33m13.5s,-26.553753,540.00000000,410.00000000,-230.00000000,0,2456954.021000,0.003000,-0.002000,0,,,,,0.05600,0.00300,-0.00200,0,5.700,0.600,-0.600,0,0.94,0.09,-0.09,0,11.896,,0,10.324,0.022,0
307,EPIC 203476597,EPIC 203476597.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h25m57.92s,246.491318,-26d00m37.4s,-26.010376,1.44080000,,,0,2456892.938240,,,0,,,,,,,,,,,,,,,,,9.575,,0,8.535,0.021,0
308,EPIC 203485624,EPIC 203485624.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,1,16h16m41.29s,244.172058,-25d58m49.9s,-25.980520,0.84120200,0.00002600,-0.00002600,0,2456894.583700,0.001400,-0.001400,0,,,,,0.33300,0.02400,-0.02400,0,82.000,25.000,-25.000,0,2.31,0.70,-0.70,0,12.354,,0,9.828,0.021,0
309,EPIC 203518244,EPIC 203518244.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h16m39.10s,244.162918,-25d52m12.2s,-25.870047,0.84112570,,,0,2456894.581000,,,0,,,,,0.01098,,,0,0.884,,,0,0.66,,,0,13.226,,0,10.645,0.019,0
310,EPIC 203533312,EPIC 203533312.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,2,1,16h15m49.29s,243.955383,-25d49m06.5s,-25.818472,0.17566000,0.00018300,-0.00018300,0,2456933.986490,0.000380,-0.000380,0,1.700000,0.100000,-0.200000,0,0.02480,0.00100,-0.00100,0,3.110,0.240,-0.240,0,1.15,0.08,-0.08,0,12.160,,0,9.847,0.024,0
311,EPIC 203560204,EPIC 203560204.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,16h02m44.48s,240.685349,-25d43m32.3s,-25.725641,29.33873041,,,0,2456924.706267,,,0,,,,,,,,,,,,,,,,,14.629,,0,11.328,0.021,0
312,EPIC 203581469,EPIC 203581469.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,1,16h25m03.84s,246.265991,-25d39m08.7s,-25.652407,22.79840000,0.00570000,-0.00570000,0,2456915.274900,0.007400,-0.007400,0,,,,,0.05600,0.02800,-0.02800,0,9.000,5.000,-5.000,0,1.37,0.40,-0.40,0,14.674,,0,11.469,0.021,0
313,EPIC 203623230,EPIC 203623230.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,16h48m53.36s,252.222336,-25d30m28.6s,-25.507933,2.54427583,,,0,2456897.208968,,,0,,,,,,,,,,,,,,,,,8.694,,0,8.061,0.022,0
314,EPIC 203692610,EPIC 203692610.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h10m31.63s,242.631775,-25d16m01.7s,-25.267141,1.82040000,,,0,2456893.295250,,,0,,,,,,,,,,,,,,,,,15.092,,0,11.603,0.023,0
315,EPIC 203710387,EPIC 203710387.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h16m30.68s,244.127853,-25d12m20.2s,-25.205603,2.80900000,,,0,2456894.713380,,,0,,,,,,,,,,,,,,,,,14.268,,0,11.907,0.023,0
316,EPIC 203710387,EPIC 203710387.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,16h16m30.68s,244.127853,-25d12m20.2s,-25.205603,1.40442830,,,0,2456894.711000,,,0,,,,,0.32270,,,0,3.660,,,0,0.12,,,0,14.268,,0,11.907,0.023,0
317,EPIC 203710387,EPIC 203710387.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,0,16h16m30.68s,244.127853,-25d12m20.2s,-25.205603,1.40441100,0.00002100,-0.00002100,0,2456893.307150,0.000710,-0.000710,0,,,,,0.47000,0.24000,-0.24000,0,99.000,62.000,-62.000,0,2.02,0.73,-0.73,0,14.268,,0,11.907,0.023,0
318,EPIC 203753577,EPIC 203753577.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h51m26.84s,252.861847,-25d03m12.3s,-25.053404,3.40077580,,,0,2456895.094000,,,0,,,,,0.06863,,,0,5.570,,,0,0.89,,,0,11.106,,0,9.477,0.033,0
319,EPIC 203771098,EPIC 203771098.01,K2-24 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,42.36349300,,,0,2456915.625000,,,0,,,,,0.06260,,,0,5.590,,,0,0.77,,,0,11.648,,0,9.180,0.021,0
320,EPIC 203771098,EPIC 203771098.02,K2-24 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,20.88507500,,,0,2456905.796000,,,0,,,,,0.04548,,,0,4.050,,,0,0.77,,,0,11.648,,0,9.180,0.021,0
321,EPIC 203771098,EPIC 203771098.01,K2-24 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,42.36398200,0.00075800,-0.00079500,0,2456915.624840,0.000568,-0.000548,0,49.781610,3.270919,-4.537230,0,0.06109,0.00174,-0.00107,0,7.118,0.678,-0.354,0,1.07,0.10,-0.05,0,11.648,,0,9.180,0.021,0
322,EPIC 203771098,EPIC 203771098.02,K2-24 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,1,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,20.88501600,0.00041200,-0.00043800,0,2456905.795940,0.000872,-0.000799,0,26.545186,3.626412,-4.201622,0,0.04511,0.00227,-0.00162,0,5.256,0.546,-0.309,0,1.07,0.10,-0.05,0,11.648,,0,9.180,0.021,0
323,EPIC 203771098,EPIC 203771098.02,K2-24 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,20.88526000,0.00042000,-0.00042000,0,2456905.794380,0.000850,-0.000850,0,,,,,0.04264,0.00081,-0.00081,0,7.070,0.860,-0.860,0,1.51,0.18,-0.18,0,11.648,,0,9.180,0.021,0
324,EPIC 203771098,EPIC 203771098.01,K2-24 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,16h10m17.69s,242.573715,-24d59m25.2s,-24.990332,42.36301000,0.00072000,-0.00072000,0,2456915.625160,0.000500,-0.000500,0,,,,,0.05913,0.00053,-0.00053,0,9.800,1.200,-1.200,0,1.51,0.18,-0.18,0,11.648,,0,9.180,0.021,0
325,EPIC 203776696,EPIC 203776696.01,K2-52 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h26m26.74s,246.611420,-24d58m11.8s,-24.969948,3.53539750,,,0,2456896.023000,,,0,,,,,0.07463,,,0,1.980,,,0,0.23,,,0,15.037,,0,11.853,0.019,0
326,EPIC 203776696,EPIC 203776696.01,K2-52 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,1,16h26m26.74s,246.611420,-24d58m11.8s,-24.969948,3.53482000,0.00019000,-0.00019000,0,2456896.028000,0.023000,-0.023000,0,,,,,0.06810,0.00120,-0.00120,0,11.100,3.900,-3.900,0,1.49,0.52,-0.52,0,15.037,,0,11.853,0.019,0
327,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27663950,,,0,2456901.895000,,,0,,,,,0.06088,,,0,0.724,,,0,0.11,,,0,13.468,,0,10.657,0.021,0
328,EPIC 203823381,EPIC 203823381.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,0,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27580000,0.00170000,-0.00170000,0,2456901.892500,0.008900,-0.008900,0,,,,,0.05400,0.01700,-0.01700,0,10.200,9.400,-9.400,0,1.60,1.30,-1.30,0,13.468,,0,10.657,0.021,0
329,EPIC 203823381,EPIC 203823381.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,2,1,16h28m32.89s,247.137039,-24d47m54.9s,-24.798592,8.27810000,,,0,2456893.602260,,,0,,,,,,,,,,,,,,,,,13.468,,0,10.657,0.021,0
330,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.43032491,,,0,2456898.852285,,,0,,,,,,,,,,,,,,,,,12.241,,0,10.142,0.021,0
331,EPIC 203826436,EPIC 203826436.01,K2-37 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.42973000,0.00043000,-0.00043000,0,2456898.854700,0.002900,-0.002900,0,,,,,0.02760,0.00180,-0.00180,0,2.650,0.230,-0.230,0,0.87,0.05,-0.05,0,12.241,,0,10.142,0.021,0
332,EPIC 203826436,EPIC 203826436.02,K2-37 d,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,14.09190000,0.00150000,-0.00150000,0,2456907.231400,0.003500,-0.003500,0,,,,,0.02710,0.00210,-0.00210,0,2.590,0.250,-0.250,0,0.87,0.05,-0.05,0,12.241,,0,10.142,0.021,0
333,EPIC 203826436,EPIC 203826436.03,K2-37 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,4.44366490,,,0,2456898.114000,,,0,,,,,0.01694,,,0,1.500,,,0,0.72,,,0,12.241,,0,10.142,0.021,0
334,EPIC 203826436,EPIC 203826436.02,K2-37 d,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,14.09090700,,,0,2456907.236000,,,0,,,,,0.02619,,,0,2.330,,,0,0.72,,,0,12.241,,0,10.142,0.021,0
335,EPIC 203826436,EPIC 203826436.01,K2-37 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.42950230,,,0,2456898.856000,,,0,,,,,0.02925,,,0,2.500,,,0,0.72,,,0,12.241,,0,10.142,0.021,0
336,EPIC 203826436,EPIC 203826436.01,K2-37 c,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,1,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,6.42958200,0.00029000,-0.00030700,0,2456898.855890,0.002070,-0.002013,0,15.269686,2.071881,-4.897805,0,0.02910,0.00353,-0.00144,0,2.598,0.331,-0.152,0,0.82,0.03,-0.03,0,12.241,,0,10.142,0.021,0
337,EPIC 203826436,EPIC 203826436.02,K2-37 d,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,1,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,14.09099600,0.00099300,-0.00107800,0,2456907.235970,0.002617,-0.002381,0,34.341689,5.006469,-11.348861,0,0.02702,0.00357,-0.00151,0,2.412,0.333,-0.154,0,0.82,0.03,-0.03,0,12.241,,0,10.142,0.021,0
338,EPIC 203826436,EPIC 203826436.03,K2-37 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,1,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,4.44377400,0.00045400,-0.00050100,0,2456898.112860,0.004630,-0.004205,0,10.785318,1.436128,-3.094203,0,0.01709,0.00188,-0.00103,0,1.526,0.178,-0.103,0,0.82,0.03,-0.03,0,12.241,,0,10.142,0.021,0
339,EPIC 203826436,EPIC 203826436.03,K2-37 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,16h13m48.24s,243.451004,-24d47m13.4s,-24.787062,4.44118000,0.00074000,-0.00074000,0,2456893.700300,0.006500,-0.006500,0,,,,,0.01740,0.00150,-0.00150,0,1.660,0.170,-0.170,0,0.87,0.05,-0.05,0,12.241,,0,10.142,0.021,0
340,EPIC 203849738,EPIC 203849738.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h09m52.88s,242.470322,-24d41m53.5s,-24.698206,0.61990000,,,0,2456894.600000,,,0,,,,,,,,,,,,,,,,,14.390,,0,10.926,0.019,0
341,EPIC 203867512,EPIC 203867512.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h52m59.36s,253.247314,-24d37m34.5s,-24.626259,28.46563300,,,0,2456918.548000,,,0,,,,,0.16420,,,0,18.400,,,0,0.96,,,0,11.858,,0,10.465,0.021,0
342,EPIC 203868608,EPIC 203868608.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h17m18.99s,244.329117,-24d37m18.7s,-24.621849,4.54170000,,,0,2456893.768270,,,0,,,,,,,,,,,,,,,,,13.324,,0,10.760,0.021,0
343,EPIC 203914123,EPIC 203914123.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,,2,1,16h17m31.38s,244.380737,-24d26m13.3s,-24.437021,83830.00000000,31600.00000000,-22320.00000000,0,2456946.278000,0.002000,-0.002000,0,,,,,0.14900,0.00100,-0.00100,0,12.000,1.100,-1.100,0,0.74,0.07,-0.07,0,9.039,,0,6.321,0.017,0
344,EPIC 203929178,EPIC 203929178.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h49m41.45s,252.422714,-24d22m25.7s,-24.373808,1.15388600,0.00002800,-0.00002800,0,2456893.581200,0.001100,-0.001100,0,,,,,0.53000,0.23000,-0.23000,0,99.000,52.000,-52.000,0,1.80,0.52,-0.52,0,11.160,,0,10.519,0.020,0
345,EPIC 203942067,EPIC 203942067.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h15m17.87s,243.824478,-24d19m09.2s,-24.319227,1.63989340,,,0,2456895.547000,,,0,,,,,0.43920,,,0,33.000,,,0,0.79,,,0,12.080,,0,10.342,0.025,0
346,EPIC 204043888,EPIC 204043888.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,1,16h48m58.51s,252.243805,-23d53m29.1s,-23.891418,1.48624300,0.00002300,-0.00002300,0,2456894.196700,0.007000,-0.007000,0,,,,,0.28000,0.06300,-0.06300,0,58.000,14.000,-14.000,0,1.87,0.22,-0.22,0,15.218,,0,11.692,0.025,0
347,EPIC 204057095,EPIC 204057095.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h11m00.76s,242.753174,-23d50m25.3s,-23.840353,23.21058500,,,0,2456913.627000,,,0,,,,,0.06981,,,0,5.700,,,0,0.81,,,0,11.583,,0,9.847,0.024,0
348,EPIC 204129699,EPIC 204129699.01,K2-31 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,16h21m45.78s,245.440750,-23d32m52.3s,-23.547865,1.25785420,0.00000270,-0.00000270,0,2456893.598770,0.000100,-0.000100,0,,,,,0.35000,0.13000,-0.13000,0,34.000,13.000,-13.000,0,0.90,0.03,-0.03,0,10.607,,0,8.866,0.019,0
349,EPIC 204129699,EPIC 204129699.01,K2-31 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,16h21m45.78s,245.440750,-23d32m52.3s,-23.547865,1.25784930,,,0,2456894.857000,,,0,,,,,0.09261,,,0,7.000,,,0,0.81,,,0,10.607,,0,8.866,0.019,0
350,EPIC 204129699,EPIC 204129699.01,K2-31 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,2,1,16h21m45.78s,245.440750,-23d32m52.3s,-23.547865,1.25783320,,,0,2456896.115851,,,0,,,,,,,,,,,,,,,,,10.607,,0,8.866,0.019,0
351,EPIC 204143627,EPIC 204143627.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h15m59.25s,243.996887,-23d29m36.3s,-23.493410,1.12400000,,,0,2456893.726810,,,0,,,,,,,,,,,,,,,,,14.757,,0,11.312,0.019,0
352,EPIC 204165788,EPIC 204165788.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,16h25m35.08s,246.396179,-23d24m18.8s,-23.405212,0.74740000,,,0,2456893.140590,,,0,,,,,,,,,,,,,,,,,7.281,,0,5.775,0.021,0
353,EPIC 204221263,EPIC 204221263.01,K2-38 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,1,16h00m08.06s,240.033585,-23d11m21.4s,-23.189287,10.56098000,0.00081000,-0.00081000,0,2456900.474600,0.002800,-0.002800,0,,,,,0.01950,0.00140,-0.00140,0,2.410,0.270,-0.270,0,1.12,0.10,-0.10,0,11.210,,0,9.470,0.021,0
354,EPIC 204221263,EPIC 204221263.02,K2-38 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,1,16h00m08.06s,240.033585,-23d11m21.4s,-23.189287,4.01628000,0.00044000,-0.00044000,0,2456896.875300,0.004900,-0.004900,0,,,,,0.01329,0.00099,-0.00099,0,1.640,0.190,-0.190,0,1.12,0.10,-0.10,0,11.210,,0,9.470,0.021,0
355,EPIC 204276894,EPIC 204276894.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017AJ....154..224R target=ref>Rizzuto et al. 2017</a>,CANDIDATE,,2,1,16h34m39.22s,248.663422,-22d58m14.8s,-22.970772,1.95700000,,,0,2456893.373130,,,0,,,,,,,,,,,,,,,,,11.466,,0,5.743,0.022,0
356,EPIC 204312847,EPIC 204312847.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h41m39.29s,250.413696,-22d49m42.4s,-22.828453,24.19361300,,,0,2456906.330000,,,0,,,,,0.37780,,,0,30.700,,,0,0.87,,,0,11.370,,0,9.658,0.025,0
357,EPIC 204346718,EPIC 204346718.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,16h21m16.81s,245.320053,-22d41m36.7s,-22.693525,0.64292573,,,0,2456896.425445,,,0,,,,,,,,,,,,,,,,,14.626,,0,12.225,0.021,0
